id,LocId,State Id,City,Name,ARPLatitude,ARPLongitude,Elevation,Sectional,UNICOM,CTAF,ICAOId
2458,4C8,IA,ALBIA,ALBIA MUNI,040-59-46.6000N,092-45-56.5000W,963.7,CHICAGO,122.8,122.8,
2459,2P7,OH,ST CLAIRSVILLE,ALDERMAN,040-03-24.7100N,080-57-47.4800W,1186.5,DETROIT,,122.9,
2460,Z33,AK,ALEKNAGIK,ALEKNAGIK,059-16-26.3200N,158-37-24.9200W,7,KODIAK,,122.9,
2461,5A8,AK,ALEKNAGIK,ALEKNAGIK /NEW,059-16-57.2000N,158-37-04.3200W,63,KODIAK,,122.9,
2462,I99,IN,ALEXANDRIA,ALEXANDRIA,040-13-57.0500N,085-38-15.1100W,900,CHICAGO,123.05,123.05,
2463,N85,NJ,PITTSTOWN,ALEXANDRIA,040-35-15.2700N,075-01-09.9100W,480,NEW YORK,122.975,122.975,
2464,T69,TX,SINTON,ALFRED C 'BUBBA' THOMAS,028-02-18.8400N,097-32-33.0000W,47.9,SAN ANTONIO,122.8,122.8,
2465,M66,KS,HILLSBORO,ALFRED SCHROEDER FLD,038-20-29.6500N,097-12-49.9400W,1434,WICHITA,,122.9,
2466,ALZ,AK,LAZY BAY,ALITAK,056-53-58.1500N,154-14-52.2500W,0,KODIAK,,122.8,
2467,R03,OR,ALKALI LAKE,ALKALI LAKE STATE,043-05-14.5400N,119-58-33.8600W,4312,KLAMATH FALLS,,122.9,
2468,51G,MI,CLIO,ALKAY,043-08-36.2500N,083-47-49.1300W,714,DETROIT,,122.9,
